Pick,Value
1,3000.0000
2,2815.9425
3,2631.8850
4,2447.8275
5,2263.7701
6,2079.7126
7,1895.6552
8,1822.0097
9,1748.3643
10,1674.7189
11,1601.0735
12,1527.4281
13,1453.7827
14,1380.1373
15,1306.4919
16,1247.6349
17,1207.0968
18,1166.5588
19,1126.0207
20,1085.4827
21,1044.9447
22,1018.1680
23,991.3914
24,964.6148
25,937.8382
26,911.0615
27,884.2849
28,857.5083
29,830.7317
30,803.9550
31,777.1784
32,750.4018
33,723.6252
34,696.8486
35,670.0719
36,643.2953
37,616.5187
38,598.8547
39,581.1908
40,563.5268
41,545.8629
42,528.1989
43,510.5350
44,492.8710
45,475.2071
46,457.5431
47,439.8792
48,431.6105
49,423.3418
50,415.0731
51,406.8045
52,398.5358
53,390.2671
54,381.9985
55,373.7298
56,365.4611
57,357.1924
58,348.9238
59,340.6552
60,335.2608
61,329.8664
62,324.4720
63,319.0776
64,313.6832
65,308.2888
66,302.8944
67,297.5000
68,292.1056
69,286.7113
70,281.3169
71,275.9225
72,270.5281
73,265.1337
74,259.7393
75,254.3449
76,248.9505
77,243.5561
78,238.1618
79,232.7674
80,227.3730
81,221.9786
82,216.5842
83,212.1850
84,207.7857
85,203.3865
86,198.9872
87,195.0026
88,191.0180
89,187.0334
90,183.0488
91,179.0642
92,175.0795
93,171.0949
94,167.1103
95,163.1257
96,159.1411
97,155.1565
98,151.1719
99,147.1873
100,143.2027
101,139.2181
102,135.2335
103,131.2489
104,127.2643
105,123.2798
106,119.2952
107,115.7650
108,112.2348
109,108.7047
110,105.1746
111,102.3908
112,99.6070
113,96.8233
114,94.0395
115,91.2557
116,88.4720
117,85.6882
118,82.9044
119,80.1207
120,78.6168
121,77.1129
122,75.6090
123,74.1051
124,72.6012
125,71.0974
126,69.5935
127,68.0896
128,66.5857
129,65.0819
130,63.5780
131,62.0741
132,60.5702
133,59.0663
134,57.5625
135,56.0586
136,54.5547
137,53.0509
138,51.5470
139,50.8372
140,50.1274
141,49.4176
142,48.7078
143,47.9980
144,47.2882
145,46.5784
146,45.8686
147,45.1588
148,44.4490
149,43.7392
150,43.0294
151,42.3196
152,41.6098
153,40.9000
154,40.1902
155,39.4804
156,38.7706
157,38.0608
158,37.3510
159,36.6413
160,35.9315
161,35.2217
162,34.5119
163,33.8021
164,33.1369
165,32.4716
166,31.8064
167,31.1412
168,30.5384
169,30.3380
170,30.1380
171,29.9379
172,29.7379
173,29.5378
174,29.3378
175,29.1378
176,28.9378
177,28.7377
178,28.5377
179,28.3377
180,28.1377
181,27.9377
182,27.7376
183,27.5376
184,27.3376
185,27.1376
186,26.9376
187,26.7375
188,26.5375
189,26.3375
190,26.1375
191,25.9375
192,25.7375
193,25.5375
194,25.3375
195,25.1375
196,24.9375
197,24.7375
198,24.5375
199,24.3375
200,24.1375
201,23.9376
202,23.7376
203,23.5376
204,23.3376
205,23.1376
206,22.9376
207,22.7376
208,22.5376
209,22.3376
210,22.1376
211,21.9376
212,21.7377
213,21.5377
214,21.3377
215,21.1377
216,20.9377
217,20.7377
218,20.5377
219,20.3378
220,20.1378
221,19.9378
222,19.7378
223,19.5380
224,19.4329
225,19.3278
226,19.2228
227,19.1178
228,19.0128
229,18.9077
230,18.8027
231,18.6977
232,18.5927
233,18.4877
234,18.3827
235,18.2777
236,18.1727
237,18.0677
238,17.9627
239,17.8577
240,17.7526
241,17.6476
242,17.5426
243,17.4377
244,17.3327
245,17.2277
246,17.1227
247,17.0179
248,16.9131
249,16.8084
250,16.7037
251,16.5990
252,16.4943
253,16.3896
254,16.3889
255,16.3887
256,16.3886
257,16.3884
258,16.3883
259,16.3882
260,16.3881
261,16.3879
262,16.3878
263,16.3877
264,16.3876
265,16.3875
266,16.3874
267,16.3874
268,16.3873
269,16.3872
270,16.3871
271,16.3870
272,16.3869
273,16.3869
274,16.3868
275,16.3867
276,16.3866
277,16.3866
278,16.3865
279,16.3864
280,16.3864
281,16.3863
282,16.3863
283,16.3862
284,16.3861
285,16.3861
286,16.3860
287,16.3860
288,16.3859
289,16.3859
290,16.3858
291,16.3858
292,16.3857
293,16.3857
294,16.3856
295,16.3856
296,16.3855
297,16.3855
298,16.3855
299,16.3854
300,16.3854
301,16.3853
302,16.3853
303,16.3853
304,16.3852
305,16.3852
306,16.3852
307,16.3851
308,16.3851
309,16.3851
310,16.3851
311,16.3850
312,16.3850
313,16.3850
314,16.3850
315,16.3849
316,16.3849
317,16.3849
318,16.3849
319,16.3848
320,16.3848
321,16.3848
322,16.3848
323,16.3848
324,16.3848
325,16.3848
326,16.3848
327,16.3847
328,16.3847
329,16.3847
